title,platform,skill_tags,summary,source,source_url,date,record_quality
AWS Backup now supports VMware Cloud on AWS,AWS,"aws, storage, cloud-general, data, security",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-02-26,complete
Cloud Monitoring Metrics Explorer redesign,GCP,"gcp, cloudwatch, cloud-general, data, compute",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-02-23,complete
AWS Network Firewall centralized deployment model,AWS,"networking, security, aws, vpc, cloud-general",AWS blog post covering networking and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-02-21,complete
Cloud Storage dual-region replication improvements,GCP,"storage, gcp, cloud-general, data, networking",Google Cloud release note or blog post about storage services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-02-13,complete
Azure Kubernetes Engineer,Azure,"azure, kubernetes, docker, devops, cloud-general",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-02-12,complete
AWS Certified ML Specialist,AWS,"aws, certification, data, compute, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-02-11,complete
AWS CodePipeline adds GitHub Actions integration,AWS,"pipeline, aws, devops, cloud-general, compute",AWS blog post covering pipeline and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-02-06,complete
Eventarc event-driven architecture patterns,GCP,"gcp, pipeline, serverless, cloud-general, data",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-30,complete
Cloud SQL for MySQL high availability improvements,GCP,"data, gcp, storage, cloud-general, architect",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-29,complete
AWS DataSync enhanced transfer performance,AWS,"aws, data, storage, pipeline, cloud-general",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-01-27,complete
AWS Security Hub new compliance standards added,AWS,"security, aws, iam, cloud-general, networking",AWS blog post covering security and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-01-23,complete
Amazon Redshift Serverless GA and pricing update,AWS,"data, aws, storage, cloud-general, compute",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-01-23,complete
GKE Autopilot enterprise-grade node management,GCP,"kubernetes, gcp, compute, cloud-general, devops",Google Cloud release note or blog post about kubernetes services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-23,complete
AWS Certified Advanced Networking,AWS,"aws, certification, networking, vpc, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2025-01-14,complete
Google Cloud Load Balancing global external update,GCP,"gcp, networking, cloud-general, compute, architect",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-13,complete
Data Catalog now part of Dataplex unified catalog,GCP,"data, gcp, pipeline, storage, cloud-general",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-13,complete
AWS Certified Advanced Networking exam blueprint,AWS,"certification, aws, networking, vpc, cloud-general",AWS blog post covering certification and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-01-04,complete
Google Cloud Certificate Authority Service update,GCP,"security, gcp, iam, cloud-general, networking",Google Cloud release note or blog post about security services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-04,complete
AWS Fargate container resource management updates,AWS,"aws, docker, compute, kubernetes, cloud-general",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2025-01-02,complete
Cloud Logging Analytics with BigQuery integration,GCP,"bigquery, gcp, data, cloud-general, cloudwatch",Google Cloud release note or blog post about bigquery services.,Google Cloud Blog,https://cloud.google.com/blog/,2025-01-01,complete
Azure Certified Data Engineer,Azure,"azure, certification, data, pipeline, storage",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-30,complete
Cloud Platform Engineer,Multi-Cloud,"aws, azure, terraform, kubernetes, devops",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-27,complete
BigQuery Data Analyst,GCP,"bigquery, gcp, data, pipeline, cloud-general",Cloud job posting requiring expertise in bigquery with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-27,complete
Firestore Datastore mode performance enhancements,GCP,"data, gcp, storage, cloud-general, serverless",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-12-25,complete
Announcing Amazon S3 Express One Zone Storage Class,AWS,"s3, storage, compute, aws, data",AWS blog post covering s3 and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-24,complete
AWS Resilience Hub now supports AWS Config rules,AWS,"aws, cloud-general, security, architect, iam",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-24,complete
BigQuery BI Engine auto-scaling for dashboards,GCP,"bigquery, gcp, data, cloud-general, compute",Google Cloud release note or blog post about bigquery services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-12-24,complete
Cloud Platform Reliability Lead,Multi-Cloud,"kubernetes, devops, aws, gcp, cloud-general",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-22,complete
GCP Anthos Engineer,GCP,"kubernetes, gcp, devops, cloud-general, networking",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-22,complete
Cloud Network Security Engineer,Multi-Cloud,"networking, security, aws, vpc, cloud-general",Cloud job posting requiring expertise in networking with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-22,complete
New AWS Well-Architected Framework pillars update,AWS,"architect, aws, cloud-general, security, data",AWS blog post covering architect and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-16,complete
Cloud Cost Optimization Lead,Multi-Cloud,"aws, azure, gcp, cloud-general, architect",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-15,complete
Amazon Bedrock now generally available,AWS,"aws, cloud-general, data, compute, serverless",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-14,complete
AlloyDB for PostgreSQL distributed NL2SQL queries,GCP,"data, gcp, storage, cloud-general, compute",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-12-13,complete
AWS Lambda now supports Python 3.12 runtime,AWS,"lambda, serverless, aws, compute, python",AWS blog post covering lambda and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-12,complete
Serverless Architect,AWS,"lambda, serverless, aws, architect, cloud-general",Cloud job posting requiring expertise in lambda with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-11,complete
AWS Transit Gateway inter-region peering update,AWS,"vpc, networking, aws, cloud-general, security",AWS blog post covering vpc and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-09,complete
Multi-Cloud DevOps Lead,Multi-Cloud,"devops, aws, gcp, azure, cloud-general",Cloud job posting requiring expertise in devops with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-08,complete
Kubernetes Security Engineer,Kubernetes,"kubernetes, security, docker, iam, cloud-general",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-07,complete
AWS Secrets Manager automatic rotation improvements,AWS,"security, aws, iam, cloud-general, data",AWS blog post covering security and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-12-03,complete
Azure Security Engineer,Azure,"azure, security, iam, cloud-general, networking",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-12-03,complete
Cloud Run jobs for batch processing workloads,GCP,"gcp, serverless, compute, cloud-general, pipeline",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-12-01,complete
GKE Sandbox gVisor container isolation update,GCP,"kubernetes, gcp, security, docker, cloud-general",Google Cloud release note or blog post about kubernetes services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-11-29,complete
AWS CloudFormation StackSets improvements,AWS,"aws, devops, cloud-general, architect, pipeline",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-11-21,complete
Azure Synapse Analytics Engineer,Azure,"azure, data, pipeline, storage, cloud-general",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-11-20,complete
AWS Certified Security Specialty,AWS,"aws, certification, security, iam, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-11-20,complete
Cloud Bigtable row-level encryption at rest,GCP,"storage, gcp, security, data, cloud-general",Google Cloud release note or blog post about storage services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-11-16,complete
Azure Data Factory Developer,Azure,"azure, pipeline, data, storage, cloud-general",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-11-11,complete
Amazon OpenSearch Service new Graviton3 instances,AWS,"aws, data, compute, cloud-general, storage",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-11-09,complete
Azure AKS Platform Engineer,Azure,"azure, kubernetes, devops, cloud-general, docker",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-11-07,complete
Azure Data Lake Engineer,Azure,"azure, data, storage, pipeline, cloud-general",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-11-07,complete
Cloud Interconnect 400Gbps high-bandwidth option,GCP,"networking, gcp, cloud-general, architect, compute",Google Cloud release note or blog post about networking services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-11-06,complete
Cloud Security Architect,Multi-Cloud,"security, iam, aws, azure, cloud-general",Cloud job posting requiring expertise in security with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-10-30,complete
Cloud Observability Engineer,Multi-Cloud,"cloudwatch, aws, gcp, cloud-general, devops",Cloud job posting requiring expertise in cloudwatch with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-10-26,complete
AWS Control Tower landing zone update v3.2,AWS,"aws, iam, security, cloud-general, networking",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-10-16,complete
Google Cloud NAT improved logging and monitoring,GCP,"networking, gcp, cloud-general, security, vpc",Google Cloud release note or blog post about networking services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-10-10,complete
Cloud Storage Engineer,AWS,"s3, storage, aws, cloud-general, data",Cloud job posting requiring expertise in s3 with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-10-10,complete
Introducing AWS Graviton4 processor instances,AWS,"compute, aws, ec2, cloud-general, engineer",AWS blog post covering compute and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-10-07,complete
AWS IAM Identity Center adds SCIM provisioning,AWS,"iam, aws, security, cloud-general, networking",AWS blog post covering iam and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-10-06,complete
Multi-Cloud Architect,Multi-Cloud,"aws, gcp, azure, architect, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-28,complete
Amazon RDS for PostgreSQL now supports pgvector,AWS,"rds, aws, data, storage, cloud-general",AWS blog post covering rds and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-26,complete
GCP Looker BI Developer,GCP,"gcp, data, bigquery, pipeline, cloud-general",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-26,complete
AWS SageMaker ML Engineer,AWS,"aws, data, compute, pipeline, cloud-general",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-24,complete
Amazon SQS standard queue performance benchmarks,AWS,"aws, cloud-general, compute, data, serverless",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-19,complete
Vertex AI Workbench managed notebooks update,GCP,"gcp, data, cloud-general, compute, pipeline",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-09-19,complete
Cloud Compliance Analyst,Multi-Cloud,"security, iam, aws, cloud-general, data",Cloud job posting requiring expertise in security with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-19,complete
Amazon Kinesis Data Streams on-demand mode GA,AWS,"data, aws, pipeline, cloud-general, storage",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-17,complete
Cloud Tasks and Cloud Scheduler new features,GCP,"gcp, pipeline, serverless, cloud-general, compute",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-09-17,complete
Cloud FinOps Specialist,Multi-Cloud,"aws, azure, gcp, cloud-general, architect",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-15,complete
Amazon Managed Streaming for Apache Kafka updates,AWS,"data, aws, pipeline, cloud-general, storage",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-13,complete
Amazon EKS introduces simplified cluster authentication,AWS,"kubernetes, aws, iam, security, eks",AWS blog post covering kubernetes and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-11,complete
Amazon CloudFront signed URLs best practices,AWS,"aws, networking, security, cloud-general, storage",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-09-11,complete
Google Cloud Direct Peering capacity increases,GCP,"networking, gcp, cloud-general, architect, compute",Google Cloud release note or blog post about networking services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-09-11,complete
Google Cloud Next 2025 top announcements,GCP,"cloud-general, gcp, data, compute, architect",Google Cloud release note or blog post about cloud-general services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-09-10,complete
Cloud Data Pipeline Developer,Multi-Cloud,"pipeline, data, aws, gcp, cloud-general",Cloud job posting requiring expertise in pipeline with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-04,complete
GCP Cloud SQL Administrator,GCP,"gcp, data, storage, cloud-general, compute",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-09-01,complete
New AWS CloudWatch anomaly detection capabilities,AWS,"cloudwatch, aws, monitoring, cloud-general, compute",AWS blog post covering cloudwatch and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-08-31,complete
AWS Cost Anomaly Detection ML model updates,AWS,"aws, cloud-general, compute, data, cloudwatch",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-08-31,complete
Google Cloud Professional Cloud Architect exam guide,GCP,"certification, gcp, architect, cloud-general, data",Google Cloud release note or blog post about certification services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-30,complete
Cloud IAM Workload Identity Federation for GitHub,GCP,"iam, gcp, security, devops, cloud-general",Google Cloud release note or blog post about iam services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-30,complete
Cloud Networking Engineer,Multi-Cloud,"networking, vpc, aws, gcp, cloud-general",Cloud job posting requiring expertise in networking with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-08-30,complete
Serverless Developer,AWS,"lambda, serverless, aws, cloud-general, compute",Cloud job posting requiring expertise in lambda with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-08-29,complete
Anthos Service Mesh traffic management updates,GCP,"kubernetes, gcp, networking, cloud-general, devops",Google Cloud release note or blog post about kubernetes services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-27,complete
Cloud Spanner PostgreSQL compatibility update,GCP,"data, gcp, storage, cloud-general, compute",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-22,complete
AWS AppSync adds real-time subscriptions at scale,AWS,"aws, serverless, data, cloud-general, compute",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-08-17,complete
Vertex AI Feature Store online serving update,GCP,"data, gcp, pipeline, compute, cloud-general",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-17,complete
Terraform Infrastructure Engineer,Multi-Cloud,"terraform, devops, aws, azure, cloud-general",Cloud job posting requiring expertise in terraform with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-08-14,complete
Memorystore for Redis Cluster generally available,GCP,"gcp, storage, data, cloud-general, compute",Google Cloud release note or blog post about gcp services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-13,complete
Kubernetes Platform Specialist,Kubernetes,"kubernetes, docker, devops, cloud-general, aws",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-08-13,complete
GKE multi-cluster services mesh update,GCP,"kubernetes, gcp, networking, cloud-general, devops",Google Cloud release note or blog post about kubernetes services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-09,complete
Amazon VPC introduces Network Access Analyzer,AWS,"vpc, aws, networking, security, cloud-general",AWS blog post covering vpc and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-08-08,complete
Chronicle Security Operations SIEM new features,GCP,"security, gcp, cloud-general, data, iam",Google Cloud release note or blog post about security services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-07,complete
Google Cloud Professional Data Engineer study tips,GCP,"certification, gcp, data, pipeline, cloud-general",Google Cloud release note or blog post about certification services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-06,complete
Cloud Key Management external key manager update,GCP,"security, gcp, iam, cloud-general, data",Google Cloud release note or blog post about security services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-08-04,complete
AWS Solutions Architect,AWS,"aws, architect, ec2, s3, vpc",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-08-03,complete
Azure DevOps Engineer,Azure,"azure, devops, pipeline, kubernetes, iam",Cloud job posting requiring expertise in azure with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-31,complete
GKE Platform Engineer,GCP,"kubernetes, gcp, devops, cloud-general, docker",Cloud job posting requiring expertise in kubernetes with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-31,complete
BigQuery ML new classification model types,GCP,"bigquery, gcp, data, pipeline, cloud-general",Google Cloud release note or blog post about bigquery services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-07-27,complete
Cloud Disaster Recovery Lead,Multi-Cloud,"aws, storage, architect, cloud-general, security",Cloud job posting requiring expertise in aws with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-25,complete
GCP Data Engineer,GCP,"gcp, bigquery, pubsub, pipeline, data",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-20,complete
AWS Lambda Developer,AWS,"lambda, aws, serverless, compute, cloud-general",Cloud job posting requiring expertise in lambda with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-18,complete
AWS re:Invent 2025 top announcements recap,AWS,"aws, cloud-general, certification, architect, data",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-07-16,complete
AWS Glue adds support for Apache Iceberg tables,AWS,"data, aws, pipeline, cloud-general, storage",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-07-15,complete
AWS Lambda SnapStart reduces cold start latency,AWS,"lambda, aws, serverless, compute, cloud-general",AWS blog post covering lambda and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-07-15,complete
Google Cloud Professional Cloud Security Engineer guide,GCP,"certification, gcp, security, iam, cloud-general",Google Cloud release note or blog post about certification services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-07-15,complete
Amazon ECS task networking enhancements,AWS,"aws, docker, networking, kubernetes, compute",AWS blog post covering aws and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-07-13,complete
AWS Glue DataBrew visual data preparation tools,AWS,"data, aws, pipeline, cloud-general, storage",AWS blog post covering data and related cloud technologies.,AWS Blog,https://aws.amazon.com/blogs/aws/,2024-07-12,complete
Dataplex unified data governance platform launch,GCP,"data, gcp, pipeline, storage, cloud-general",Google Cloud release note or blog post about data services.,Google Cloud Blog,https://cloud.google.com/blog/,2024-07-12,complete
Google Cloud Architect,GCP,"gcp, architect, cloud-general, data, networking",Cloud job posting requiring expertise in gcp with related cloud platform skills.,Cloud Jobs Dataset,https://data.gov/cloud-jobs,2024-07-08,complete
