record_id,source,type,rule_id,wcag_criterion,conformance_level,title,description,help_url,tags,url,published_date,collected_at,quality
axe_landmark-unique,axe-core,rule,landmark-unique,1.3.6,AA,Landmarks should have a unique role or role/label/title combination,Ensures landmarks are unique,https://dequeuniversity.com/rules/axe/4.9/landmark-unique,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-unique,,2026-05-22,complete
axe_link-in-text-block,axe-core,rule,link-in-text-block,1.4.1,A,Links must be distinguishable without relying on color,Ensure links are distinguished from surrounding text in a way that does not rely on color,https://dequeuniversity.com/rules/axe/4.9/link-in-text-block,wcag2a wcag141 cat.color,https://dequeuniversity.com/rules/axe/4.9/link-in-text-block,,2026-05-22,complete
axe_link-name,axe-core,rule,link-name,2.4.4,A,Links must have discernible text,Ensures links have discernible text,https://dequeuniversity.com/rules/axe/4.9/link-name,wcag2a wcag244 cat.name-role-value,https://dequeuniversity.com/rules/axe/4.9/link-name,,2026-05-22,complete
axe_list,axe-core,rule,list,1.3.1,A,list element must only directly contain allowed elements,Ensures that lists are structured correctly,https://dequeuniversity.com/rules/axe/4.9/list,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/list,,2026-05-22,complete
axe_listitem,axe-core,rule,listitem,1.3.1,A,List item elements must be contained in a list or group role,Ensures li elements are used semantically,https://dequeuniversity.com/rules/axe/4.9/listitem,wcag2a wcag131 cat.structure,https://dequeuniversity.com/rules/axe/4.9/listitem,,2026-05-22,complete
axe_meta-refresh,axe-core,rule,meta-refresh,2.2.1,A,Ensure that time-based content does not automatically redirect or refresh,Ensures meta-refresh is not used for delayed action,https://dequeuniversity.com/rules/axe/4.9/meta-refresh,wcag2a wcag221 cat.time-and-media,https://dequeuniversity.com/rules/axe/4.9/meta-refresh,,2026-05-22,complete
axe_meta-viewport,axe-core,rule,meta-viewport,1.4.4,AA,zoom and maximum-scale in the viewport meta tag must not be disabled,Ensures meta-viewport does not disable text scaling and zooming,https://dequeuniversity.com/rules/axe/4.9/meta-viewport,wcag2aa wcag144 cat.sensory-and-visual-cues,https://dequeuniversity.com/rules/axe/4.9/meta-viewport,,2026-05-22,complete
axe_nested-interactive,axe-core,rule,nested-interactive,4.1.2,A,Interactive controls must not be nested,Ensures interactive controls are not nested as they are not always announced by screen readers,https://dequeuniversity.com/rules/axe/4.9/nested-interactive,wcag2a wcag412 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/nested-interactive,,2026-05-22,complete
axe_no-autoplay-audio,axe-core,rule,no-autoplay-audio,1.4.2,A,An element that plays audio must not auto play for more than 3 seconds,Ensures audio or video elements do not autoplay audio for more than 3 seconds without providing an audio control mechanism to turn off or control the volume,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio,wcag2a wcag142 cat.time-and-media,https://dequeuniversity.com/rules/axe/4.9/no-autoplay-audio,,2026-05-22,complete
axe_object-alt,axe-core,rule,object-alt,1.1.1,A,Object elements must have alternate text,Ensures object elements have alternate text,https://dequeuniversity.com/rules/axe/4.9/object-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/object-alt,,2026-05-22,complete
axe_p-as-heading,axe-core,rule,p-as-heading,1.3.1,A,Bold italicized and font-size styled text must not act as a visual heading,Ensure bold italicized and font-size styled text is not used to replace heading markup,https://dequeuniversity.com/rules/axe/4.9/p-as-heading,wcag2a wcag131 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/p-as-heading,,2026-05-22,complete
axe_page-has-heading-one,axe-core,rule,page-has-heading-one,1.3.1,A,Page must contain a level-one heading,Ensure that the page or at least one of its frames contains a level-one heading,https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one,wcag2a wcag131 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/page-has-heading-one,,2026-05-22,complete
axe_region,axe-core,rule,region,1.3.6,AA,All page content should be contained by landmarks,Ensures all page content is contained by landmarks,https://dequeuniversity.com/rules/axe/4.9/region,wcag2aa wcag136 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/region,,2026-05-22,complete
axe_role-img-alt,axe-core,rule,role-img-alt,1.1.1,A,Images with role=img must have an alternate text,Ensures role=img elements have alternate text,https://dequeuniversity.com/rules/axe/4.9/role-img-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/role-img-alt,,2026-05-22,complete
axe_scope-attr-valid,axe-core,rule,scope-attr-valid,1.3.1,A,scope attribute values must be used correctly,Ensures the scope attribute is used correctly on tables,https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid,wcag2a wcag131 cat.tables,https://dequeuniversity.com/rules/axe/4.9/scope-attr-valid,,2026-05-22,complete
axe_scrollable-region-focusable,axe-core,rule,scrollable-region-focusable,2.1.1,A,Elements that have scrollable content must be accessible by keyboard,Elements that have scrollable content must be accessible by keyboard,https://dequeuniversity.com/rules/axe/4.9/scrollable-region-focusable,wcag2a wcag211 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/scrollable-region-focusable,,2026-05-22,complete
axe_select-name,axe-core,rule,select-name,1.3.1,A,Select element must have an accessible name,Ensures select element has an accessible name,https://dequeuniversity.com/rules/axe/4.9/select-name,wcag2a wcag131 cat.forms,https://dequeuniversity.com/rules/axe/4.9/select-name,,2026-05-22,complete
axe_server-side-image-map,axe-core,rule,server-side-image-map,2.1.1,A,Avoid server-side image maps,Ensures that server-side image maps are not used,https://dequeuniversity.com/rules/axe/4.9/server-side-image-map,wcag2a wcag211 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/server-side-image-map,,2026-05-22,complete
axe_skip-link,axe-core,rule,skip-link,2.4.1,A,The page must have a means to bypass repeated blocks,Ensure all skip links have a focusable target,https://dequeuniversity.com/rules/axe/4.9/skip-link,wcag2a wcag241 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/skip-link,,2026-05-22,complete
axe_svg-img-alt,axe-core,rule,svg-img-alt,1.1.1,A,SVG images must have an alternate text,Ensures SVG elements with an img role have an accessible text,https://dequeuniversity.com/rules/axe/4.9/svg-img-alt,wcag2a wcag111 cat.text-alternatives,https://dequeuniversity.com/rules/axe/4.9/svg-img-alt,,2026-05-22,complete
axe_tabindex,axe-core,rule,tabindex,2.4.3,A,Elements should not have tabindex greater than zero,Ensures that tabindex attribute values are not greater than 0,https://dequeuniversity.com/rules/axe/4.9/tabindex,wcag2a wcag243 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/tabindex,,2026-05-22,complete
axe_table-duplicate-name,axe-core,rule,table-duplicate-name,1.3.1,A,The summary attribute must not duplicate the caption element,Ensures the summarya attribute does not duplicate the caption element,https://dequeuniversity.com/rules/axe/4.9/table-duplicate-name,wcag2a wcag131 cat.tables,https://dequeuniversity.com/rules/axe/4.9/table-duplicate-name,,2026-05-22,complete
axe_td-headers-attr,axe-core,rule,td-headers-attr,1.3.1,A,All cells in a table element that use the headers attribute must only refer to other cells in that table,Ensures that each cell using the headers refers to another cell in the same table,https://dequeuniversity.com/rules/axe/4.9/td-headers-attr,wcag2a wcag131 cat.tables,https://dequeuniversity.com/rules/axe/4.9/td-headers-attr,,2026-05-22,complete
axe_th-has-data-cells,axe-core,rule,th-has-data-cells,1.3.1,A,All th elements and elements with role=columnheader/rowheader must have data cells they describe,Ensures that th elements and elements with role=columnheader/rowheader have data cells they describe,https://dequeuniversity.com/rules/axe/4.9/th-has-data-cells,wcag2a wcag131 cat.tables,https://dequeuniversity.com/rules/axe/4.9/th-has-data-cells,,2026-05-22,complete
axe_valid-lang,axe-core,rule,valid-lang,3.1.2,AA,lang attributes must have a valid value,Ensures lang attributes have valid values,https://dequeuniversity.com/rules/axe/4.9/valid-lang,wcag2aa wcag312 cat.language,https://dequeuniversity.com/rules/axe/4.9/valid-lang,,2026-05-22,complete
axe_video-caption,axe-core,rule,video-caption,1.2.2,A,Video elements must have captions,Ensures video elements have captions,https://dequeuniversity.com/rules/axe/4.9/video-caption,wcag2a wcag122 cat.time-and-media,https://dequeuniversity.com/rules/axe/4.9/video-caption,,2026-05-22,complete
axe_css-orientation-lock,axe-core,rule,css-orientation-lock,1.3.4,AA,CSS Media Queries must not lock orientation of the screen,Ensures content is not locked to any specific display orientation and the content is operable in all display orientations,https://dequeuniversity.com/rules/axe/4.9/css-orientation-lock,wcag21aa wcag134 cat.structure,https://dequeuniversity.com/rules/axe/4.9/css-orientation-lock,,2026-05-22,complete
axe_focus-trap,axe-core,rule,focus-trap,2.1.2,A,Page must not trap focus,Ensures users cannot be trapped in a content area through keyboard input,https://dequeuniversity.com/rules/axe/4.9/focus-trap,wcag2a wcag212 cat.keyboard,https://dequeuniversity.com/rules/axe/4.9/focus-trap,,2026-05-22,complete
axe_hidden-content,axe-core,rule,hidden-content,,,Some content is not visible and may not be tested for accessibility,Informs users about hidden content present on the page that may need to be manually inspected,https://dequeuniversity.com/rules/axe/4.9/hidden-content,best-practice,https://dequeuniversity.com/rules/axe/4.9/hidden-content,,2026-05-22,incomplete
axe_identical-links-same-purpose,axe-core,rule,identical-links-same-purpose,2.4.9,AAA,Links with the same accessible name must serve a similar purpose,Ensure that links with the same accessible name serve the same purpose,https://dequeuniversity.com/rules/axe/4.9/identical-links-same-purpose,wcag2aaa wcag249 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/identical-links-same-purpose,,2026-05-22,complete
axe_landmark-has-body-context,axe-core,rule,landmark-has-body-context,1.3.6,AA,Landmarks must be on a section of the page with its body context,Ensures landmarks only appear in the context of a body element,https://dequeuniversity.com/rules/axe/4.9/landmark-has-body-context,wcag2aa wcag136 cat.semantics,https://dequeuniversity.com/rules/axe/4.9/landmark-has-body-context,,2026-05-22,complete
axe_meta-viewport-large,axe-core,rule,meta-viewport-large,1.4.4,AA,Users should be able to zoom and scale the text up to 500%,Ensures meta-viewport allows users to scale text up to 500%,https://dequeuniversity.com/rules/axe/4.9/meta-viewport-large,wcag2aa wcag144 cat.sensory-and-visual-cues,https://dequeuniversity.com/rules/axe/4.9/meta-viewport-large,,2026-05-22,complete
axe_presentation-role-conflict,axe-core,rule,presentation-role-conflict,4.1.2,A,Elements with role=presentation or role=none must not have ARIA attributes,Flags elements that have conflicting roles and must be resolved,https://dequeuniversity.com/rules/axe/4.9/presentation-role-conflict,wcag2a wcag412 cat.aria,https://dequeuniversity.com/rules/axe/4.9/presentation-role-conflict,,2026-05-22,complete
axe_target-size,axe-core,rule,target-size,2.5.5,AA,Ensure touch target have sufficient size,Ensure touch targets have an accessible size,https://dequeuniversity.com/rules/axe/4.9/target-size,wcag21aa wcag255 cat.sensory-and-visual-cues,https://dequeuniversity.com/rules/axe/4.9/target-size,,2026-05-22,complete
axe_autocomplete-valid,axe-core,rule,autocomplete-valid,1.3.5,AA,Ensure the autocomplete attribute is correct,Ensure the autocomplete attribute is correct and suitable for the form field it is used with,https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid,wcag21aa wcag135 cat.forms,https://dequeuniversity.com/rules/axe/4.9/autocomplete-valid,,2026-05-22,complete
axe_avoid-inline-spacing,axe-core,rule,avoid-inline-spacing,1.4.12,AA,Inline text spacing must be adjustable with custom stylesheets,Ensure that text spacing set through style attributes can be adjusted with custom stylesheets,https://dequeuniversity.com/rules/axe/4.9/avoid-inline-spacing,wcag21aa wcag1412 cat.structure,https://dequeuniversity.com/rules/axe/4.9/avoid-inline-spacing,,2026-05-22,complete
axe_empty-heading,axe-core,rule,empty-heading,2.4.6,AA,Headings should not be empty,Ensures headings have discernible text,https://dequeuniversity.com/rules/axe/4.9/empty-heading,wcag2aa wcag246 cat.name-role-value,https://dequeuniversity.com/rules/axe/4.9/empty-heading,,2026-05-22,complete
axe_empty-table-header,axe-core,rule,empty-table-header,,,Table header text should not be empty,Ensures table headers have discernible text,https://dequeuniversity.com/rules/axe/4.9/empty-table-header,best-practice,https://dequeuniversity.com/rules/axe/4.9/empty-table-header,,2026-05-22,incomplete
